card_id,disp_id,type,issued
76,464,classic,98122300:00:00
573,3638,classic,98122300:00:00
240,1459,classic,98122300:00:00
728,4725,classic,98122400:00:00
924,7862,classic,98122400:00:00
486,3128,gold,98122500:00:00
1081,10696,classic,98122500:00:00
753,4974,classic,98122500:00:00
442,2796,classic,98122600:00:00
125,694,gold,98122600:00:00
674,4360,classic,98122800:00:00
322,2063,classic,98122800:00:00
685,4467,classic,98122900:00:00
635,4083,classic,98122900:00:00
